,Feature,SHAP_Importance,XGB_Gain_Importance
1,price,0.81540227,0.20909175
54,final_price_log,0.24257451,0.020623432
0,region,0.2276193,0.107133076
27,key_rate,0.12361121,0.52176386
65,quantity_rolling_3,0.05378827,0.03272773
2,group,0.039227113,0.0021485493
26,month_cos,0.02419865,0.0045917802
63,quantity_lag_12,0.019218113,0.0020391375
55,quantity_lag_1,0.017225279,0.0067631355
4,category,0.012747446,0.0012653437
3,type,0.012607789,0.0034383647
6,Округ,0.011903346,0.0043910956
12,Свыше 1 года_15_32,0.010532638,0.00018283009
33,usd_rub_Изм. %,0.009146117,0.0002783769
56,final_price_lag_1,0.0077923494,0.0016813829
52,month,0.007397378,0.0027612888
64,final_price_lag_12,0.006751163,0.004140255
23,Всего_23_52,0.0066758473,0.0003129739
24,year,0.005887538,0.006832553
7,"До 1 года, включая ''до востребования''_15_30",0.0048069046,0.00071756484
5,fulfilled,0.0033396862,0.0636153
8,Свыше 1 года_15_30,0.0030812249,0.000115928575
14,Свыше 1 года_15_33,0.0029233776,0.0007623338
22,Всего_22_49,0.0027427422,1.7987382e-05
69,quantity_rolling_12,0.0026552053,9.403713e-05
57,quantity_lag_2,0.0024366647,0.00012998607
30,usd_rub_Откр.,0.0022741104,0.00012391005
53,quarter,0.0020800428,0.00041549062
42,sanctions_shock_index,0.0020391324,6.0278002e-05
67,quantity_rolling_6,0.0019570277,0.0003218822
66,final_price_rolling_3,0.0019406085,0.0003167062
58,final_price_lag_2,0.0018782887,0.00034827972
13,"До 1 года, включая ''до востребования''_15_33",0.0017368797,2.3924335e-05
28,inflation_rate,0.0016660751,6.0893723e-05
20,Всего_20_41,0.0015675704,4.9264425e-05
21,Всего_21_45,0.0014706197,0.0001819526
59,quantity_lag_3,0.0013555499,1.4801748e-05
9,"До 1 года, включая ''до востребования''_15_31",0.001201162,3.883824e-05
25,month_sin,0.0011846771,1.3512434e-05
68,final_price_rolling_6,0.001119004,8.506345e-05
15,"До 1 года, включая ''до востребования''_19_39",0.00095679605,7.3369716e-05
19,Всего_15_34,0.0009250064,1.7697646e-05
17,"До 1 года, включая ''до востребования''_19_40",0.0009100614,2.1253369e-05
11,"До 1 года, включая ''до востребования''_15_32",0.0007221999,4.8690585e-05
10,Свыше 1 года_15_31,0.0006660986,9.110339e-06
70,final_price_rolling_12,0.000616282,7.083057e-05
16,Свыше 1 года_19_39,0.00056069565,4.218177e-06
62,final_price_lag_6,0.00039542178,5.2455857e-06
51,Индекс инфляции,0.000371211,8.2553294e-07
31,usd_rub_Макс.,0.00032620493,1.6019214e-05
61,quantity_lag_6,0.00024587437,2.05793e-05
35,is_may_holiday,0.00023785686,1.7348299e-05
60,final_price_lag_3,0.00021922016,5.4907864e-06
32,usd_rub_Мин.,0.00014673434,3.4337513e-06
38,shock_index,0.0001257069,6.0749726e-06
18,Свыше 1 года_19_40,0.00010885386,1.9212192e-07
36,is_black_friday,9.054738e-05,4.426625e-06
47,sanctions_sanctions_early_2023,9.689485e-06,3.2591024e-07
41,shock_lockdown,0.0,0.0
40,shock_sanctions,0.0,0.0
39,shock_covid,0.0,0.0
37,is_builder_day,0.0,0.0
43,sanctions_sanctions_tech,0.0,0.0
44,sanctions_sanctions_initial,0.0,0.0
45,sanctions_sanctions_wave2,0.0,0.0
34,is_newyear_season,0.0,0.0
50,sanctions_sanctions_2025,0.0,0.0
49,sanctions_sanctions_2024,0.0,0.0
29,inflation_target,0.0,0.0
48,sanctions_sanctions_late_2023,0.0,0.0
46,sanctions_sanctions_late_2022,0.0,0.0
