,Feature,SHAP_Importance,XGB_Gain_Importance
1,price,1.8082268,0.2602999
0,region,0.3684618,0.1499792
27,key_rate,0.21746969,0.29597372
54,quantity_log,0.21691014,0.013205004
24,year,0.1007109,0.09477558
7,"До 1 года, включая ''до востребования''_15_30",0.04334499,0.0055857017
6,Округ,0.0430259,0.083816394
2,group,0.041587267,0.0057543893
65,quantity_rolling_3,0.03737432,0.0019975896
5,fulfilled,0.02572497,0.08202539
52,month,0.017333185,0.0010655182
26,month_cos,0.011677847,0.0004601566
25,month_sin,0.010153745,0.0012802827
55,quantity_lag_1,0.008674915,0.00041818028
63,quantity_lag_12,0.0075345617,0.0006921303
20,Всего_20_41,0.0067108795,7.076548e-05
56,final_price_lag_1,0.0065699965,0.00035358634
33,usd_rub_Изм. %,0.0062437803,2.0722331e-05
64,final_price_lag_12,0.006171636,0.00052725605
66,final_price_rolling_3,0.0054116277,0.00020545944
8,Свыше 1 года_15_30,0.0052118963,0.00015315729
61,quantity_lag_6,0.0045250608,2.7163196e-05
59,quantity_lag_3,0.003188254,2.7551469e-05
12,Свыше 1 года_15_32,0.0027167588,5.5950304e-06
11,"До 1 года, включая ''до востребования''_15_32",0.002587771,4.7659337e-06
14,Свыше 1 года_15_33,0.00249777,0.000552739
4,category,0.0021831868,0.00040242315
22,Всего_22_49,0.0019146751,6.511961e-05
69,quantity_rolling_12,0.0018254652,4.258098e-06
9,"До 1 года, включая ''до востребования''_15_31",0.0017120608,2.1029053e-05
21,Всего_21_45,0.0016140874,7.45269e-06
62,final_price_lag_6,0.0015733988,3.370442e-05
67,quantity_rolling_6,0.0014835374,6.40678e-05
23,Всего_23_52,0.0014272548,3.73957e-06
13,"До 1 года, включая ''до востребования''_15_33",0.0013670606,8.780718e-06
68,final_price_rolling_6,0.0011507232,1.4075833e-05
16,Свыше 1 года_19_39,0.0009351293,1.9502831e-05
18,Свыше 1 года_19_40,0.0009312295,6.026175e-06
32,usd_rub_Мин.,0.00084045157,5.4456445e-06
19,Всего_15_34,0.00082537835,5.575092e-06
57,quantity_lag_2,0.00078669883,6.901396e-06
28,inflation_rate,0.00075808144,1.2237309e-05
17,"До 1 года, включая ''до востребования''_19_40",0.0007466982,1.1773654e-06
31,usd_rub_Макс.,0.00067719177,3.4226268e-06
15,"До 1 года, включая ''до востребования''_19_39",0.0006266895,4.838e-06
60,final_price_lag_3,0.0005946367,7.3223678e-06
10,Свыше 1 года_15_31,0.0005267737,5.528215e-06
30,usd_rub_Откр.,0.0004399102,6.428607e-06
58,final_price_lag_2,0.00034289563,2.0375098e-06
70,final_price_rolling_12,0.0002833095,2.8159664e-06
51,Индекс инфляции,0.00028317564,7.0795386e-07
42,sanctions_shock_index,0.00019378545,4.078942e-06
3,type,0.00018898438,6.277064e-07
36,is_black_friday,0.0001448043,1.224791e-06
46,sanctions_sanctions_late_2022,3.1750373e-05,1.3109538e-06
38,shock_index,1.251216e-05,1.3449869e-07
48,sanctions_sanctions_late_2023,6.614788e-06,5.430417e-08
43,sanctions_sanctions_tech,5.2460155e-06,6.016811e-08
39,shock_covid,0.0,0.0
29,inflation_target,0.0,0.0
34,is_newyear_season,0.0,0.0
37,is_builder_day,0.0,0.0
50,sanctions_sanctions_2025,0.0,0.0
40,shock_sanctions,0.0,0.0
41,shock_lockdown,0.0,0.0
44,sanctions_sanctions_initial,0.0,0.0
45,sanctions_sanctions_wave2,0.0,0.0
47,sanctions_sanctions_early_2023,0.0,0.0
53,quarter,0.0,0.0
49,sanctions_sanctions_2024,0.0,0.0
35,is_may_holiday,0.0,0.0
